Pais,Socio,Logo,Link
Guatemala,CGIAR,"cgiarImg.png","https://www.cgiar.org/"
Guatemala,CGIAR AgriLAC Resiliente,"cgiarAgrilacImg.png","https://www.cgiar.org/news-events/news/agrilac-resiliente-una-iniciativa-del-cgiar-para-aumentar-resiliencia-sostenibilidad-y-competitividad-en-america-latina-y-el-caribe/"
Guatemala,CIMMYT,"cimmytImg.png","https://www.cimmyt.org/"
Guatemala,Columbia Climate School,"columbiaImg.png","https://www.climate.columbia.edu/"
Guatemala,INSIVUMEH,"insivumehImg.png","https://insivumeh.gob.gt/"
Colombia,FEDEARROZ,"fedearrozImg.png","https://www.fedearroz.com.co/admin/login/?next=/en/"
Colombia,Federación Nacional de Cafeteros de Colombia,"fedecafeImg.jpg","https://federaciondecafeteros.org/"
Colombia,Fenalce,"fenalceImg.png","https://fenalce.co/"
Colombia,IDEAM,"ideamImg.png","http://www.ideam.gov.co/"
Colombia,MADR,"minAgriImg.png","https://www.minagricultura.gov.co/paginas/default.aspx"
Angola,Minagrif,"minAgrifImg.png","https://minagrif.gov.ao/ao/"
Angola,GEPE,"gepeImg.png","https://minagrif.gov.ao/ao/"
Angola,Banco Mundial,"worldBankImg.svg","https://www.worldbank.org/en/home"
Angola,AFD,"afdImg.png","https://www.afd.fr/fr"
Ethiopia,USAID,"usaidImg.svg","https://www.usaid.gov/"
Ethiopia,CIMMYT,"cimmytImg.png","https://www.cimmyt.org/"
Ethiopia,EIAR,"EIAR.png","http://eiar.gov.et/"
Ethiopia,Ministery of Agriculture,"ministryEthiopia.jpg","https://www.moa.gov.et/amh/"
Perú,USAID,"usaidImg.svg","https://www.usaid.gov/"
Perú,UNALM,"molinaImg.png","http://www.lamolina.edu.pe/"
Perú,The University of Oklahoma,"oklahomaImg.png","https://www.ou.edu/"
Perú,Purdue University,"purdueImg.jpg","https://ag.purdue.edu/index.html"
Perú,UtahState University,"utahImg.png","https://www.usu.edu/"
